question,type,option1,option2,option3,option4,answer,image,compare,added_at
,mcq_img,А,Б,В,Г,Г,nvo7bel1.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7bel2.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7bel3.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7bel4.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7bel5.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Г,nvo7bel6.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7bel7.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Г,nvo7bel8.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7bel9.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7bel10.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Г,nvo7bel11.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7bel12.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Ц,nvo7bel13.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,А,nvo7bel14.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7bel15.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7bel16.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7bel17.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7bel18.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,А,nvo7bel19.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7bel20.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Г,nvo7bel21.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Г,nvo7bel22.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7bel23.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7bel24.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7bel26.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7bel28.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Г,nvo7bel29.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7bel30.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7bel31.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7bel32.png,exact,2026-03-17T17:27:41
,free_img,,,,,Бръчков,nvo7bel33.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7bel34.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7bel35.png,exact,2026-03-17T17:27:41
,free_img,,,,,Йордан Йовков,nvo7bel36.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,А,nvo7bel37.png,exact,2026-03-17T17:27:41
,free_img,,,,,Бай Ганьо,nvo7bel38.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Г,nvo7bel39.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7bel40.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,А,nvo7bel41.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7bel42.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7bel43.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7bel44.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,А,nvo7bel45.png,exact,2026-03-17T17:27:41
,free_img,,,,,Пенчо Славейков,nvo7bel46.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7bel47.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7bel48.png,exact,2026-03-17T17:27:41
,free_img,,,,,елегия,nvo7bel49.png,exact,2026-03-17T17:27:41
,free_img,,,,,сложно съставно,nvo7bel50.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,А,nvo7bel51.png,exact,2026-03-17T17:27:41
,free_img,,,,,сложно съставно,nvo7bel52.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7bel53.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7bel54.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7bel55.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7bel56.png,exact,2026-03-17T17:27:41
,free_img,,,,,"Ода, Иван Вазов",nvo7bel57.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,В,nvo7bel58.png,exact,2026-03-17T17:27:41
,free_img,,,,,медиен,nvo7bel59.png,exact,2026-03-17T17:27:41
,free_img,,,,,приемственост,nvo7bel60.png,exact,2026-03-17T17:27:41
,mcq_img,А,Б,В,Г,Б,nvo7bel61.png,exact,2026-03-17T17:27:41
